2026/09/24 11:07:31.668, 922 MiB, 67 %, 77, 2430 MHz, 67.00 W, 0x0000000000000004
2026/09/24 11:07:33.675, 922 MiB, 53 %, 76, 2445 MHz, 63.90 W, 0x0000000000000000
2026/09/24 11:07:35.684, 922 MiB, 60 %, 76, 2445 MHz, 62.76 W, 0x0000000000000000
2026/09/24 11:07:37.690, 922 MiB, 60 %, 76, 2445 MHz, 63.36 W, 0x0000000000000000
2026/09/24 11:07:39.694, 922 MiB, 61 %, 76, 2445 MHz, 62.13 W, 0x0000000000000000
2026/09/24 11:07:41.698, 922 MiB, 60 %, 76, 2445 MHz, 62.43 W, 0x0000000000000000
2026/09/24 11:07:43.704, 922 MiB, 66 %, 77, 2430 MHz, 61.55 W, 0x0000000000000004
2026/09/24 11:07:45.715, 922 MiB, 66 %, 78, 2445 MHz, 66.74 W, 0x0000000000000004
2026/09/24 11:07:47.717, 922 MiB, 68 %, 78, 2445 MHz, 67.33 W, 0x0000000000000000
2026/09/24 11:07:49.721, 922 MiB, 66 %, 78, 2415 MHz, 67.65 W, 0x0000000000000004
2026/09/24 11:07:51.735, 922 MiB, 66 %, 78, 2430 MHz, 66.85 W, 0x0000000000000004
2026/09/24 11:07:53.740, 922 MiB, 67 %, 78, 2400 MHz, 67.47 W, 0x0000000000000004
2026/09/24 11:07:55.750, 922 MiB, 66 %, 78, 2430 MHz, 67.69 W, 0x0000000000000004
2026/09/24 11:07:57.756, 922 MiB, 66 %, 78, 2430 MHz, 67.49 W, 0x0000000000000004
2026/09/24 11:07:59.767, 922 MiB, 61 %, 78, 2445 MHz, 65.77 W, 0x0000000000000000
2026/09/24 11:08:01.774, 922 MiB, 60 %, 77, 2445 MHz, 63.80 W, 0x0000000000000000
2026/09/24 11:08:03.776, 922 MiB, 62 %, 78, 2445 MHz, 64.36 W, 0x0000000000000000
2026/09/24 11:08:05.791, 922 MiB, 59 %, 78, 2445 MHz, 64.32 W, 0x0000000000000000
2026/09/24 11:08:07.794, 922 MiB, 62 %, 77, 2445 MHz, 64.49 W, 0x0000000000000000
2026/09/24 11:08:09.809, 922 MiB, 61 %, 78, 2445 MHz, 64.39 W, 0x0000000000000000
2026/09/24 11:08:11.813, 922 MiB, 67 %, 78, 2385 MHz, 64.87 W, 0x0000000000000004
2026/09/24 11:08:13.821, 922 MiB, 68 %, 79, 2400 MHz, 67.86 W, 0x0000000000000004
2026/09/24 11:08:15.832, 922 MiB, 69 %, 79, 2430 MHz, 67.79 W, 0x0000000000000004
2026/09/24 11:08:17.836, 937 MiB, 65 %, 79, 2430 MHz, 66.88 W, 0x0000000000000004
2026/09/24 11:08:19.843, 937 MiB, 68 %, 79, 2430 MHz, 67.50 W, 0x0000000000000004
2026/09/24 11:08:21.852, 937 MiB, 68 %, 79, 2415 MHz, 67.21 W, 0x0000000000000004
2026/09/24 11:08:23.865, 937 MiB, 69 %, 79, 2415 MHz, 64.34 W, 0x0000000000000004
2026/09/24 11:08:25.872, 937 MiB, 68 %, 79, 2445 MHz, 67.19 W, 0x0000000000000004
2026/09/24 11:08:27.885, 937 MiB, 69 %, 79, 2445 MHz, 67.34 W, 0x0000000000000004
2026/09/24 11:08:29.898, 937 MiB, 69 %, 79, 2385 MHz, 67.94 W, 0x0000000000000004
2026/09/24 11:08:31.911, 937 MiB, 69 %, 80, 2385 MHz, 67.64 W, 0x0000000000000004
2026/09/24 11:08:33.926, 937 MiB, 67 %, 80, 2400 MHz, 67.50 W, 0x0000000000000004
2026/09/24 11:08:35.931, 937 MiB, 71 %, 79, 2400 MHz, 67.03 W, 0x0000000000000004
2026/09/24 11:08:37.946, 937 MiB, 68 %, 80, 2400 MHz, 67.35 W, 0x0000000000000004
2026/09/24 11:08:39.949, 937 MiB, 68 %, 79, 2415 MHz, 66.25 W, 0x0000000000000004
2026/09/24 11:08:41.952, 937 MiB, 69 %, 79, 2415 MHz, 66.96 W, 0x0000000000000004
2026/09/24 11:08:43.958, 937 MiB, 65 %, 78, 2415 MHz, 62.19 W, 0x0000000000000004
2026/09/24 11:08:45.973, 937 MiB, 67 %, 80, 2415 MHz, 66.97 W, 0x0000000000000004
2026/09/24 11:08:47.987, 937 MiB, 62 %, 79, 2445 MHz, 66.19 W, 0x0000000000000000
2026/09/24 11:08:49.994, 937 MiB, 60 %, 79, 2445 MHz, 64.35 W, 0x0000000000000000
2026/09/24 11:08:52.001, 937 MiB, 71 %, 80, 2400 MHz, 68.02 W, 0x0000000000000004
2026/09/24 11:08:54.013, 937 MiB, 69 %, 80, 2385 MHz, 67.92 W, 0x0000000000000004
2026/09/24 11:08:56.015, 937 MiB, 69 %, 79, 2415 MHz, 67.96 W, 0x0000000000000004
2026/09/24 11:08:58.021, 937 MiB, 67 %, 79, 2400 MHz, 67.81 W, 0x0000000000000004
2026/09/24 11:09:00.025, 937 MiB, 69 %, 80, 2400 MHz, 67.79 W, 0x0000000000000004
2026/09/24 11:09:02.040, 937 MiB, 62 %, 79, 2445 MHz, 64.28 W, 0x0000000000000000
2026/09/24 11:09:04.054, 937 MiB, 61 %, 79, 2445 MHz, 64.33 W, 0x0000000000000000
2026/09/24 11:09:06.066, 937 MiB, 58 %, 78, 2445 MHz, 63.87 W, 0x0000000000000000
2026/09/24 11:09:08.080, 937 MiB, 58 %, 78, 2445 MHz, 62.12 W, 0x0000000000000000
2026/09/24 11:09:10.094, 937 MiB, 61 %, 79, 2445 MHz, 64.23 W, 0x0000000000000000
2026/09/24 11:09:12.104, 937 MiB, 33 %, 73, 2445 MHz, 44.38 W, 0x0000000000000000
2026/09/24 11:09:14.108, 937 MiB, 56 %, 77, 2445 MHz, 48.34 W, 0x0000000000000004
2026/09/24 11:09:16.123, 937 MiB, 66 %, 78, 2445 MHz, 56.40 W, 0x0000000000000000
2026/09/24 11:09:18.132, 937 MiB, 40 %, 75, 2445 MHz, 51.89 W, 0x0000000000000000
2026/09/24 11:09:20.144, 937 MiB, 58 %, 77, 2445 MHz, 61.61 W, 0x0000000000000000
2026/09/24 11:09:22.153, 937 MiB, 56 %, 77, 2445 MHz, 57.54 W, 0x0000000000000000
2026/09/24 11:09:24.166, 937 MiB, 51 %, 75, 2445 MHz, 55.18 W, 0x0000000000000000
2026/09/24 11:09:26.171, 937 MiB, 50 %, 75, 2445 MHz, 51.90 W, 0x0000000000000000
2026/09/24 11:09:28.184, 937 MiB, 47 %, 74, 2445 MHz, 48.30 W, 0x0000000000000000
2026/09/24 11:09:30.185, 937 MiB, 45 %, 74, 2445 MHz, 46.65 W, 0x0000000000000000
2026/09/24 11:09:32.197, 937 MiB, 45 %, 73, 2445 MHz, 46.59 W, 0x0000000000000000
2026/09/24 11:09:34.201, 937 MiB, 42 %, 72, 2460 MHz, 44.01 W, 0x0000000000000000
2026/09/24 11:09:36.216, 937 MiB, 39 %, 72, 2460 MHz, 41.43 W, 0x0000000000000000
2026/09/24 11:09:38.231, 937 MiB, 38 %, 71, 2385 MHz, 39.81 W, 0x0000000000000001
2026/09/24 11:09:40.233, 937 MiB, 39 %, 70, 2265 MHz, 35.48 W, 0x0000000000000001
2026/09/24 11:09:42.241, 937 MiB, 39 %, 68, 2175 MHz, 31.71 W, 0x0000000000000001
2026/09/24 11:09:44.252, 937 MiB, 40 %, 67, 2010 MHz, 28.09 W, 0x0000000000000001
2026/09/24 11:09:46.254, 937 MiB, 37 %, 66, 1965 MHz, 26.36 W, 0x0000000000000001
2026/09/24 11:09:48.261, 937 MiB, 35 %, 65, 1905 MHz, 24.71 W, 0x0000000000000001
2026/09/24 11:09:50.271, 937 MiB, 38 %, 64, 1695 MHz, 22.00 W, 0x0000000000000001
2026/09/24 11:09:52.283, 937 MiB, 38 %, 63, 1590 MHz, 19.86 W, 0x0000000000000001
2026/09/24 11:09:54.291, 937 MiB, 41 %, 62, 1410 MHz, 17.54 W, 0x0000000000000001
2026/09/24 11:09:56.303, 937 MiB, 43 %, 62, 1365 MHz, 17.04 W, 0x0000000000000001
