2026/09/25 10:26:28.798, 757 MiB, 68 %, 77, 2460 MHz, 64.88 W, 0x0000000000000000
2026/09/25 10:26:30.806, 757 MiB, 70 %, 78, 2460 MHz, 64.86 W, 0x0000000000000000
2026/09/25 10:26:32.813, 757 MiB, 68 %, 77, 2460 MHz, 64.38 W, 0x0000000000000000
2026/09/25 10:26:34.820, 757 MiB, 67 %, 78, 2460 MHz, 63.76 W, 0x0000000000000000
2026/09/25 10:26:36.831, 757 MiB, 67 %, 78, 2460 MHz, 64.41 W, 0x0000000000000000
2026/09/25 10:26:38.841, 757 MiB, 65 %, 77, 2460 MHz, 63.39 W, 0x0000000000000000
2026/09/25 10:26:40.844, 757 MiB, 68 %, 78, 2460 MHz, 64.17 W, 0x0000000000000000
2026/09/25 10:26:42.849, 757 MiB, 64 %, 77, 2460 MHz, 61.80 W, 0x0000000000000000
2026/09/25 10:26:44.859, 757 MiB, 63 %, 77, 2460 MHz, 61.74 W, 0x0000000000000000
2026/09/25 10:26:46.862, 757 MiB, 64 %, 77, 2460 MHz, 60.61 W, 0x0000000000000000
2026/09/25 10:26:48.876, 757 MiB, 57 %, 76, 2460 MHz, 61.44 W, 0x0000000000000000
2026/09/25 10:26:50.890, 757 MiB, 64 %, 77, 2460 MHz, 61.65 W, 0x0000000000000000
2026/09/25 10:26:52.894, 757 MiB, 63 %, 77, 2460 MHz, 62.00 W, 0x0000000000000000
2026/09/25 10:26:54.904, 757 MiB, 68 %, 78, 2460 MHz, 64.79 W, 0x0000000000000000
2026/09/25 10:26:56.907, 757 MiB, 65 %, 78, 2460 MHz, 63.06 W, 0x0000000000000000
2026/09/25 10:26:58.921, 757 MiB, 70 %, 78, 2460 MHz, 64.80 W, 0x0000000000000000
2026/09/25 10:27:00.927, 757 MiB, 67 %, 78, 2460 MHz, 64.58 W, 0x0000000000000000
2026/09/25 10:27:02.940, 757 MiB, 67 %, 77, 2445 MHz, 61.43 W, 0x0000000000000000
2026/09/25 10:27:04.941, 757 MiB, 63 %, 77, 2445 MHz, 61.72 W, 0x0000000000000000
2026/09/25 10:27:06.946, 757 MiB, 61 %, 78, 2445 MHz, 62.10 W, 0x0000000000000000
2026/09/25 10:27:08.948, 757 MiB, 64 %, 77, 2445 MHz, 61.69 W, 0x0000000000000000
2026/09/25 10:27:10.949, 757 MiB, 69 %, 78, 2445 MHz, 64.06 W, 0x0000000000000000
2026/09/25 10:27:12.954, 757 MiB, 70 %, 78, 2445 MHz, 64.75 W, 0x0000000000000000
2026/09/25 10:27:14.963, 757 MiB, 66 %, 79, 2430 MHz, 66.98 W, 0x0000000000000004
2026/09/25 10:27:16.973, 757 MiB, 67 %, 79, 2445 MHz, 64.67 W, 0x0000000000000000
2026/09/25 10:27:18.976, 757 MiB, 68 %, 79, 2445 MHz, 64.76 W, 0x0000000000000004
2026/09/25 10:27:20.992, 757 MiB, 63 %, 77, 2445 MHz, 62.58 W, 0x0000000000000000
2026/09/25 10:27:22.996, 757 MiB, 65 %, 78, 2445 MHz, 61.89 W, 0x0000000000000000
2026/09/25 10:27:25.011, 757 MiB, 68 %, 78, 2445 MHz, 64.06 W, 0x0000000000000000
2026/09/25 10:27:27.012, 757 MiB, 68 %, 79, 2430 MHz, 65.37 W, 0x0000000000000004
2026/09/25 10:27:29.015, 757 MiB, 70 %, 78, 2445 MHz, 64.52 W, 0x0000000000000000
2026/09/25 10:27:31.024, 757 MiB, 70 %, 78, 2445 MHz, 64.48 W, 0x0000000000000004
2026/09/25 10:27:33.034, 757 MiB, 67 %, 79, 2445 MHz, 64.04 W, 0x0000000000000000
2026/09/25 10:27:35.049, 757 MiB, 68 %, 78, 2445 MHz, 63.88 W, 0x0000000000000000
2026/09/25 10:27:37.051, 757 MiB, 69 %, 78, 2445 MHz, 64.86 W, 0x0000000000000004
2026/09/25 10:27:39.064, 757 MiB, 64 %, 79, 2445 MHz, 64.40 W, 0x0000000000000000
2026/09/25 10:27:41.065, 757 MiB, 67 %, 79, 2445 MHz, 65.14 W, 0x0000000000000000
2026/09/25 10:27:43.068, 757 MiB, 70 %, 78, 2445 MHz, 65.06 W, 0x0000000000000000
2026/09/25 10:27:45.071, 757 MiB, 65 %, 78, 2445 MHz, 64.84 W, 0x0000000000000000
2026/09/25 10:27:47.074, 757 MiB, 63 %, 77, 2445 MHz, 62.67 W, 0x0000000000000000
2026/09/25 10:27:49.078, 757 MiB, 65 %, 78, 2445 MHz, 62.05 W, 0x0000000000000004
2026/09/25 10:27:51.079, 757 MiB, 64 %, 78, 2445 MHz, 61.74 W, 0x0000000000000000
